# YTID, start_seconds, end_seconds, positive_labels,label_count,label_names
--4gqARaEJE,0.0,10.0,"/m/068hy,/m/07q6cd_,/m/0bt9lr,/m/0jbk",4,"Domestic animals, pets|Squeak|Dog|Animal"
--BfvyPmVMo,20.0,30.0,/m/03l9g,1,Hammer
--U7joUcTCo,0.0,10.0,/m/01b_21,1,Cough
--i-y1v8Hy8,0.0,9.0,"/m/04rlf,/m/09x0r,/t/dd00004,/t/dd00005",4,Music|Speech|Female singing|Child singing
-0BIyqJj9ZU,30.0,40.0,"/m/07rgt08,/m/07sq110,/t/dd00001",3,"Chuckle, chortle|Belly laugh|Baby laughter"
-0CamVQdP_Y,0.0,6.0,"/m/04rlf,/m/07pbtc8,/m/09x0r",3,"Music|Walk, footsteps|Speech"
-0Gj8-vB1q4,30.0,40.0,"/m/0140xf,/m/02cjck,/m/04rlf",3,Christmas music|Theme music|Music
-0RWZT-miFs,420.0,430.0,"/m/03v3yw,/m/0k4j",2,Keys jangling|Car
-0YUDn-1yII,30.0,40.0,"/m/02cjck,/m/04rlf",2,Theme music|Music
-0jeONf82dE,21.0,31.0,"/m/03k3r,/m/04rlf,/m/07q5rw0,/m/09x0r,/m/0jbk",5,"Horse|Music|Neigh, whinny|Speech|Animal"
-0nqfRcnAYE,370.0,380.0,/m/04brg2,1,"Dishes, pots, and pans"
-0p7hKXZ1ww,30.0,40.0,"/g/122z_qxw,/m/09x0r",2,Firecracker|Speech
-0vPFx-wRRI,30.0,40.0,"/m/025_jnm,/m/04rlf",2,Finger snapping|Music
-0xzrMun0Rs,30.0,40.0,"/m/01g90h,/m/04rlf",2,Stomach rumble|Music
-0yRK50zyTI,30.0,40.0,"/m/07pzfmf,/m/09x0r",2,Crackle|Speech
-116CjQ3MAg,160.0,170.0,"/m/015p6,/m/0chx_,/t/dd00128",3,"Bird|White noise|Outside, urban or manmade"
-1EXhfqLLwQ,150.0,160.0,"/m/03dnzn,/m/068hy,/m/07p7b8y,/m/07ptzwd,/m/0838f,/m/0jbk,/t/dd00088",7,"Bathtub (filling or washing)|Domestic animals, pets|Fill (with liquid)|Pump (liquid)|Water|Animal|Gush"
